adres,afgifte_type,bestand,co2,energielabel,ep1_beng1,ep2_beng2,ep3_beng3,gebouwtype,pad,tapwater_toestel,tapwater_type,tojuli,ventilatie_systeem,ventilatie_variant,verwarming_rendement,verwarming_type
"Oossaander Hoop 19, 1035 RX Amsterdam",VERW-AFG_TYPE_AFG_VLV,"Oossaander Hoop 19, 1035 RX Amsterdam_2025-05-09.uniec3",,A,"88,13","118,22","0,0",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Oossaander Hoop 19, 1035 RX Amsterdam/Opname/Van adviseur/Oossaander Hoop 19, 1035 RX Amsterdam_2025-05-09.uniec3",Intergas Kombi Kompakt HReco 36,TAPW-OPWEK_TYPE_12,"4,36",26,VARIANT_D2,"0,975",VERW-OPWEK_TYPE_H
"Wielestein 31, 2151 KP Nieuw-Vennep",VERW-AFG_TYPE_AFG_RAD,"Wielestein 31, 2151 KP Nieuw-Vennep_2025-12-17.uniec3",3219,A,"81,82","133,45","5,4",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Wielestein 31, 2151 KP Nieuw-Vennep, Nederland/Opname/Van adviseur/Wielestein 31, 2151 KP Nieuw-Vennep_2025-12-17.uniec3",naverwarmer - HR(-107) ketel,TAPW-OPWEK_TYPE_19,"1,21",9,VARIANT_C1,"0,975",VERW-OPWEK_TYPE_H
"Tweede Sweelinckstraat 7, 1073 EG Amsterdam",VERW-AFG_TYPE_AFG_RAD,"Tweede Sweelinckstraat 7, 1073 EG Amsterdam_2025-11-06.uniec3",,C,"142,64","205,77","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Tweede Sweelinckstraat 7, 1073 EG Amsterdam, Nederland/Opname/Van adviseur/Tweede Sweelinckstraat 7, 1073 EG Amsterdam_2025-11-06.uniec3",Intergas Kombi Kompakt HRE 28/24,TAPW-OPWEK_TYPE_12,"3,35",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"Deltaweg 75, 2134 XS Hoofddorp",VERW-AFG_TYPE_AFG_RAD,"Deltaweg 75, 2134 XS Hoofddorp_2025-10-21.uniec3",,A,"87,48","110,52","15,7",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Deltaweg 75, 2134 XS Hoofddorp, Nederland/Opname/Van adviseur/Deltaweg 75, 2134 XS Hoofddorp_2025-10-21.uniec3",Remeha Tzerra M 39C Plus,TAPW-OPWEK_TYPE_12,"2,32",9,VARIANT_C1,"0,950",VERW-OPWEK_TYPE_H
"Van Boshuizenstraat 625, 1082 AX Amsterdam",VERW-AFG_TYPE_AFG_RAD,"Van Boshuizenstraat 625, 1082 AX Amsterdam_2025-04-03.uniec3",,C,"133,83","236,23","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Van Boshuizenstraat 625, 1082 AX Amsterdam/Opname/Van adviseur/Van Boshuizenstraat 625, 1082 AX Amsterdam_2025-04-03.uniec3",kokendwater toestel,TAPW-OPWEK_TYPE_6,"2,47",1,VARIANT_A1,"0,900",VERW-OPWEK_TYPE_H
"Engelenburg 131, 2036 RD Haarlem",VERW-AFG_TYPE_AFG_RAD,"Engelenburg 131, 2036 RD Haarlem_2025-06-13.uniec3",,D,"74,09","254,59","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Engelenburg 131, 2036 RD Haarlem/Opname/Van adviseur/Engelenburg 131, 2036 RD Haarlem_2025-06-13.uniec3",HR ketel met Gaskeur,TAPW-OPWEK_TYPE_12,"0,30",1,VARIANT_A1,"0,900",VERW-OPWEK_TYPE_H
"Lindholm 117, 2133 CP Hoofddorp",VERW-AFG_TYPE_AFG_RAD,"Lindholm 117, 2133 CP Hoofddorp_2025-10-21.uniec3",,A,"113,58","141,69","18,0",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Lindholm 117, 2133 CP Hoofddorp, Nederland/Opname/Van adviseur/Lindholm 117, 2133 CP Hoofddorp_2025-10-21.uniec3",Atag i36ECZ,TAPW-OPWEK_TYPE_12,"0,85",9,VARIANT_C1,"0,950",VERW-OPWEK_TYPE_H
"Insulindeweg 950, 1095 DX Amsterdam",VERW-AFG_TYPE_AFG_RAD,"Insulindeweg 950, 1095 DX Amsterdam_2025-07-23.uniec3",,A,"82,72","141,93","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Insulindeweg 950, 1095 DX Amsterdam/Opname/Van adviseur/Insulindeweg 950, 1095 DX Amsterdam_2025-07-23.uniec3",Remeha Tzerra M 39C Plus,TAPW-OPWEK_TYPE_12,"3,11",9,VARIANT_C1,"0,950",VERW-OPWEK_TYPE_H
"Van der Ghiessenstraat 32, 1181 RT Amstelveen",VERW-AFG_TYPE_AFG_RAD,"Van der Ghiessenstraat 32, 1181 RT Amstelveen_2025-12-15.uniec3",3504,C,"168,48","203,82","15,7",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Van der Ghiessenstraat 32, 1181 RT Amstelveen, Nederland/Opname/Van adviseur/Van der Ghiessenstraat 32, 1181 RT Amstelveen_2025-12-15.uniec3",naverwarmer - HR(-107) ketel,TAPW-OPWEK_TYPE_19,"1,14",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"Mr. F.A. van Hallweg 138 1181 ZT Amstelveen, Nederland",VERW-AFG_TYPE_AFG_RAD,"Mr. F.A. van Hallweg 138 1181 ZT Amstelveen, Nederland_2025-10-15.uniec3",,C,"113,18","239,20","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Mr. F.A. van Hallweg 138, 1181 ZT Amstelveen, Nederland/Opname/Van adviseur/Mr. F.A. van Hallweg 138 1181 ZT Amstelveen, Nederland_2025-10-15.uniec3",kokendwater toestel,TAPW-OPWEK_TYPE_6,"0,92",1,VARIANT_A1,"0,900",VERW-OPWEK_TYPE_H
